xs_id,distance_along_centerline_m,num_valid_points,elevation_range_m,max_slope_deg,distortion_risk
XS_0492,12300.0,100,4.974000000000046,58.64903212217853,low
XS_0493,12325.0,100,5.136000000000081,59.45887356845813,low
XS_0494,12350.0,100,13.453249499966319,68.89848953793344,low
XS_0495,12375.0,100,10.363864950469406,69.81425017099941,low
XS_0496,12400.0,100,14.475999999999999,61.58104784779072,low
XS_0497,12425.0,100,14.52800000000002,63.0377342530106,low
XS_0498,12450.0,100,18.668999999999983,77.77316961740996,low
XS_0499,12475.0,100,30.94569129640638,79.49580303321693,low
XS_0500,12500.0,100,20.501023830990334,81.57348946938063,low
XS_0501,12525.0,100,19.48800000000017,81.16152579663512,low
XS_0502,12550.0,100,18.543000000000234,80.71874728359826,low
XS_0503,12575.0,100,18.807408156243355,79.66026077592397,low
XS_0504,12600.0,100,18.0593922306806,80.0045644436145,low
XS_0505,12625.0,100,16.927999999999997,78.72088009485898,low
XS_0506,12650.0,100,16.138999999999896,79.24864088963668,low
XS_0507,12675.0,100,17.85699999999997,79.44632439555237,low
XS_0508,12700.0,100,21.59800000000007,80.35762760824547,low
XS_0509,12725.0,100,21.885999999999967,80.05911560562147,low
XS_0510,12750.0,100,17.03046276962823,79.86665887126263,low
XS_0511,12775.0,100,16.88499999999999,79.57169053056643,low
XS_0512,12800.0,100,17.73828038340514,70.34817070139908,low
XS_0513,12825.0,100,15.695471699613108,69.6652651900481,low
XS_0514,12850.0,100,20.620000000000005,69.30126552647755,low
XS_0515,12875.0,100,20.799999999999955,77.1647046945769,low
XS_0516,12900.0,100,15.620000000000005,73.90184481281945,low
XS_0517,12925.0,100,8.834673282480026,70.52132757430151,low
XS_0518,12950.0,100,5.740000000000123,58.37045092288871,low
XS_0519,12975.0,100,5.403864620671698,56.872128135128534,low
XS_0520,13000.0,100,12.586999999999989,73.90184481278982,low
XS_0521,13025.0,100,7.0,64.3124231733645,low
XS_0522,13050.0,100,7.0,64.31242317336388,low
XS_0523,13075.0,100,7.7000000000000455,58.266143598414196,low
XS_0524,13100.0,100,7.7000000000000455,60.236350194154504,low
XS_0525,13125.0,100,5.9920000000000755,49.37183579525247,low
XS_0526,13150.0,100,6.059999999999945,52.77042079028404,low
XS_0527,13175.0,100,9.60200000000009,72.3240971292352,low
XS_0528,13200.0,100,9.352999999999952,69.47233751156557,low
XS_0529,13225.0,100,6.685000000000059,65.61526630009566,low
XS_0530,13250.0,100,8.701169564774773,66.74355712468012,low
XS_0531,13275.0,100,6.5857586915010415,62.22711675344546,low
XS_0532,13300.0,100,9.893000000000029,61.58104784777004,low
XS_0533,13325.0,100,10.216000000000008,60.11944680612985,low
XS_0534,13350.0,100,11.34699999999998,65.39424564787886,low
XS_0535,13375.0,100,12.379000000000019,64.62501209907136,low
XS_0536,13400.0,100,10.884000000000015,63.14230466307889,low
XS_0537,13425.0,100,10.596000000000004,61.98677929892378,low
XS_0538,13450.0,100,10.523082208149617,60.36351542040142,low
XS_0539,13475.0,100,11.220000000000027,64.50643796865205,low
XS_0540,13500.0,100,11.375999999999976,74.816401318114,low
XS_0541,13525.0,100,12.740000000000009,74.91691567404294,low
XS_0542,13550.0,100,12.169999999999959,75.22557392833023,low
XS_0543,13575.0,100,11.766000000000076,75.48657902334513,low
XS_0544,13600.0,100,9.799999999999955,71.36138759072703,low
XS_0545,13625.0,100,9.923844175109025,70.96200188768223,low
XS_0546,13650.0,100,9.100000000000136,70.57909266693275,low
XS_0547,13675.0,100,8.433000000000106,70.23467465767298,low
XS_0548,13700.0,100,1.400000000000091,24.79693708553685,low
XS_0549,13725.0,100,1.400000000000091,24.796937085412246,low
XS_0550,13750.0,100,10.5,64.3901539016525,low
XS_0551,13775.0,100,11.196000000000026,68.5180876386803,low
XS_0552,13800.0,100,3.5,43.153304546720406,low
XS_0553,13825.0,100,3.5,42.29623887867649,low
XS_0554,13850.0,100,3.6499999999999773,37.81718421025806,low
XS_0555,13875.0,100,3.875,51.974105952967385,low
XS_0556,13900.0,100,4.055000000000064,53.22922396762377,low
XS_0557,13925.0,100,4.355847745534447,54.73085033866853,low
XS_0558,13950.0,100,9.799999999999955,68.51808763868,low
XS_0559,13975.0,100,9.799999999999955,68.51808763850549,low
XS_0560,14000.0,100,9.799999999999955,64.31242317335739,low
XS_0561,14025.0,100,3.5,49.113957641223,low
XS_0562,14050.0,100,4.272000000000162,49.52368206271359,low
XS_0563,14075.0,100,4.542000000000257,51.25237532438226,low
XS_0564,14100.0,100,4.200000000000159,54.18952433974868,low
XS_0565,14125.0,100,4.200000000000159,54.1895243397984,low
XS_0566,14150.0,100,0.7570000000001755,14.025997176420633,low
XS_0567,14175.0,100,7.424000000000092,67.79586687452228,low
XS_0568,14200.0,100,7.886724928001854,68.8139712961324,low
